#
# Degree Distribution. G(3248093, 6062427). 336955 (0.1037) nodes with out-deg > avg deg (3.7), 120075 (0.0370) with >2*avg.deg (Tue Dec  6 13:19:58 2016)
#
# Out-degree	Count
1	2.40044e+06
2	373838
3	136856
4	81641
5	57129
6	43421
7	34689
8	28146
9	20605
10	15788
11	12043
12	9423
13	7267
14	5415
15	4179
16	3153
17	2466
18	1987
19	1641
20	1413
21	1133
22	956
23	827
24	732
25	546
26	431
27	315
28	297
29	243
30	188
31	145
32	99
33	68
34	57
35	48
36	34
37	24
38	11
39	16
40	9
41	10
42	6
43	2
44	4
45	3
46	3
48	3
50	2
51	1
52	2
54	1
55	4
56	2
57	1
58	2
59	2
60	1
61	2
62	1
63	2
65	1
66	1
67	2
68	2
69	1
71	2
74	1
79	1
80	1
81	1
84	2
85	1
87	1
91	1
92	1
94	1
95	3
96	1
98	1
99	1
104	2
105	2
106	1
108	1
110	2
112	1
113	1
114	2
115	2
116	1
117	1
119	1
120	1
126	1
128	1
129	2
132	1
139	2
143	2
144	1
145	1
148	1
153	2
156	1
161	1
163	1
164	2
168	2
180	1
181	1
182	1
185	1
186	1
187	1
191	1
196	1
206	2
207	1
214	1
216	1
219	1
220	1
222	1
225	1
226	1
229	1
234	1
243	1
244	1
251	1
260	1
275	1
277	1
285	1
289	1
297	1
310	1
312	1
315	1
328	1
338	1
340	1
342	1
349	1
350	1
352	1
360	1
367	1
368	1
378	1
379	1
392	1
393	1
414	1
415	1
437	1
453	1
458	1
471	1
473	1
487	1
506	2
508	1
524	1
526	1
536	1
597	1
598	1
603	1
607	1
618	1
669	1
682	1
685	1
687	1
699	1
750	1
782	1
784	1
788	1
794	1
825	1
842	1
846	1
862	1
863	1
893	1
928	1
968	1
970	1
988	1
993	1
996	1
1008	1
1028	1
1075	1
1103	1
1115	1
1124	1
1163	1
1181	1
1209	1
1320	1
1334	1
1336	1
1339	1
1369	1
1406	1
1421	1
1502	1
1561	1
1617	1
1627	1
1726	1
1802	1
2045	1
2047	1
2113	1
2245	1
2277	1
2304	1
2441	1
2446	1
2456	1
2460	1
2598	1
2812	1
3028	1
3143	1
3193	1
3300	1
3334	1
3440	1
3453	1
3475	1
3837	1
3932	1
3942	1
4058	1
4117	1
4300	1
4520	1
4527	1
5009	1
5148	1
5547	1
5730	1
5745	1
5747	1
5788	1
6133	1
6304	1
6397	1
6613	1
6684	1
7043	1
7058	1
7106	1
7350	1
7585	1
8137	1
8263	1
8819	1
8962	1
9409	1
9784	1
10028	1
10366	1
10479	1
10488	1
11778	1
11898	1
12344	1
12568	1
12767	1
12826	1
12865	1
12994	1
13131	1
13655	1
15213	1
15422	1
15999	1
16095	1
16884	1
17098	1
17105	1
17942	1
18006	1
18718	1
21129	1
21522	1
21580	1
21647	1
23764	1
23956	1
25092	1
25616	1
26096	1
27045	1
28961	1
29212	1
30656	1
31601	1
33929	1
34576	1
35615	1
35895	1
36727	1
37843	1
38480	1
39613	1
42274	1
43675	1
44006	1
44415	1
46831	1
48271	1
49408	1
49428	1
50104	1
50144	1
52629	1
54899	1
54960	1
55771	1
56322	1
57557	1
65451	1
70631	1
71473	1
72813	1
74745	1
74885	1
85339	1
86651	1
92753	1
94441	1
97331	1
99326	1
100125	1
100997	1
109161	1
113676	1
115416	1
124271	1
127530	1
139751	1
150339	1
187893	1
188667	1
193664	1
193736	1
200150	1
236994	1
250251	1
428854	1
