#
# Out-degree Distribution. G(3248093, 6063011). 336702 (0.1037) nodes with out-deg > avg deg (3.7), 119743 (0.0369) with >2*avg.deg (Thu Dec 15 16:22:58 2016)
#
# Out-degree	Count
0	1
1	2.40059e+06
2	373904
3	136893
4	81660
5	57158
6	43438
7	34703
8	28149
9	20605
10	15800
11	12048
12	9427
13	7271
14	5415
15	4179
16	3156
17	2470
18	1996
19	1641
20	1412
21	1130
22	959
23	831
24	731
25	544
26	429
27	316
28	296
29	239
30	189
31	145
32	94
33	66
34	56
35	50
36	33
37	22
38	8
39	14
40	6
41	7
42	1
43	1
44	1
45	2
46	2
48	1
79	1
